metin,kategori,label,intent,intent_label,oncelik,oncelik_label,stil,kaynak
asansor 2 numara hata verdi sisli,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Kızılay M4 transfer merdiveni paletleri sallanıyor çatlak sesi geliyor kullanım kapatıldı.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Hacıosman yürüyen merdiven titreşiyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
oto kapi yarim kaldi yenisahra,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Bariyer kapağı yere düştü,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
oto kapi rayden cikti levent,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Asansör kapısı takıldı Şirinevler peron,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Açılmıyor personel dolabının kapağı Topkapı'da.,mekanik_istasyon,0,fault_report,0,P3,2,devrik,missing:gemini
YM-04 merdiven aniden durdu Olimpiyat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Asansor yok engelli gecemiyor itu,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Giriş kapıları otomatikleşsin.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,missing:gemini
bariyer dondu haciosman giris kat,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Turnike geçiş yapmıyor Yenikapı M1 peron,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
"İkitelli Sanayi geçiş torneleri açılma gecikmesi yaşıyor, kontrol ediliyor.",mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:openrouter
Asansör önü kalabalık çıkış engelli 4.Levent,mekanik_istasyon,0,complaint,3,P3,2,devrik,relabel:gemini
Kirazlı aktarma katındaki yürüyen yolun palet değişim süreci hakkında genel merkezden bir bilgi geldi mi?,mekanik_istasyon,0,information_request,2,P3,2,standart,missing:gemini
kadikoy girisindeki bariyer nezaman tamir edilcek?,mekanik_istasyon,0,information_request,2,P3,2,yazim_yanlisi,missing:gemini
Yürüyen merdiven durdu Şişli üst kat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Bostancı YM-02 fren gecikmeli,mekanik_istasyon,0,fault_report,0,P2,1,cok_kisa,relabel:gemini
Asansör düğme paneli sökük,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Asansör kulakçık sesi çıkarıyor Aksaray,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Osmanbey istasyonu 1 numaralı yürüyen merdiven freni çekmiyor ani durma tehlikesi var.,mekanik_istasyon,0,fault_report,0,P1,0,standart,relabel:gemini
Şişhane giriş otomatik cam kapı rayından çıktı kapatılmıyor güvenlik riski oluştu.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Engelli yolcu rampası,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Gayrettepe istasyonu turnike gövdesi hasarlı kol sabitleyici kırık geçiş sağlanamıyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
asansorlerin icine ayna takilsa cok daha ferah olur valla.,mekanik_istasyon,0,suggestion,4,P4,3,yazim_yanlisi,missing:gemini
Bostancı istasyonu 1 numaralı asansör katlarda takılıp kalıyor çağrı butonu cevapsız.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Açılır mı Gayrettepe bilet holü bariyerleri?,mekanik_istasyon,0,information_request,2,P3,2,devrik,missing:gemini
turnike donmesi var haciosman,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:gemini
Merdiven el kolları sallanıyor Pendik,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Kirazlı istasyonu çıkış kapısı hidrolik Direk sızdırıyor yere yağ damlıyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Taksim istasyonu bilet holü yürüyen merdivenlerine fırça koruyucu takılması teknik güvenliği ve temizliği artıracaktır.,mekanik_istasyon,0,suggestion,4,P4,3,standart,missing:gemini
Mecidiyeköy istasyonunda 2 numaralı yürüyen merdiven aniden durdu ve alarm verdi.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
yuruyen merdiven titriyo yenikapi alt,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Servis başlangıcında Kabataş istasyonu acil durum çıkış kapısının dışarıdan kilitli kaldığı tespit edilmiştir.,mekanik_istasyon,0,fault_report,0,P1,0,standart,relabel:gemini
Gayrettepe istasyonu peron katındaki acil çıkış kapısı kilit mekanizması sıkıştığı için dışarıdan açılamamaktadır.,mekanik_istasyon,0,fault_report,0,P1,0,standart,relabel:gemini
turnike kolu donmuyo kartal cikis,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Ayrılık Çeşmesi istasyonu yürüyen merdiven yön değiştirme anahtarı takılı dönmüyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Merdiven çalışıyor mu şimdi?,mekanik_istasyon,0,information_request,2,P3,2,cok_kisa,missing:gemini
Gayrettepe M11 asansör kabin ışıkları sönük kapı sensörü çalışmıyor açıkmı kapalı mı belli değil.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Bostancı koridor bariyer kalkmıyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Kırıldı personel dolabının kilidi kuzey girişte.,mekanik_istasyon,0,fault_report,0,P3,2,devrik,missing:gemini
Turnike kapağı takılı Yenikapı Marmaray aktarma,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Asansör kullanılamıyor yolcular zorlanıyor 4.Levent,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:gemini
Kilitli duruyor acil kaçış kapısı Bostancı peronunda.,mekanik_istasyon,0,fault_report,0,P1,0,devrik,relabel:openrouter
Gerekli kauçuk kaplama turnike kollarına.,mekanik_istasyon,0,suggestion,4,P4,3,devrik,missing:gemini
Turnike gövdesi güçlendirilmeli.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,missing:gemini
Bariyer ne zaman takılır?,mekanik_istasyon,0,information_request,2,P3,2,cok_kisa,missing:gemini
Menderes istasyonu asansör limit switchi bozulmuş en üste çıkıp takılı kalıyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
asansor kabin kapi takildi taksim,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Esenkent istasyonu yürüyen merdiven zinciri gerilim kaybı yapıyor sallanıyor durduruldu.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Turnike kolları yumuşatılsın.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,missing:gemini
Eklensin koruyucu bariyer asansör önüne.,mekanik_istasyon,0,suggestion,4,P4,3,devrik,missing:gemini
Uzunçayır B çıkışı asansörü katlarda duruyor kapı açılmıyor yolcular bekliyor.,mekanik_istasyon,0,fault_report,0,P2,1,standart,relabel:gemini
Kapanmıyor panik bar kapısı acil çıkışta tıkalı.,mekanik_istasyon,0,fault_report,0,P1,0,devrik,relabel:openrouter
Dudullu istasyonu turnike döner kol mekanizması kilitlendi dönmüyor paslanmış görünüyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
oto kapi kapanirken takiliyo mecidiyekoy,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Kapı kolları değişimi gerekli.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,missing:gemini
esenlerdeki asansor kacinci katta takili kaldi bilen varmi?,mekanik_istasyon,0,information_request,2,P1,0,yazim_yanlisi,missing:gemini
Otomatik kapı motoru ısındı Bahçelievler,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Kadıköy istasyonu bilet holündeki hasarlı turnike kapağının değişim tarihi hakkında detaylı bilgi rica ediyoruz.,mekanik_istasyon,0,information_request,2,P4,3,standart,missing:gemini
Peron capraz gecis kapali ataturkoto,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Kozyatağı istasyonu 2 numaralı asansör kapı paneli sallanıyor cam kırılma riski var.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Vezneciler asansör çağrı butonu yapışkan,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Mecidiyeköy bilet holü turnikesi kol sabitlendi geçiş tamamen kapalı durumda.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
asansor durdu dudullu servis basi,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Kapı kolu bağlantısı koptu,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Turnike geçiş sıkışıklığı,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
ym 05 titriyor mecidiyekoy peron,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
asansör dugmelerı kabartmalı metal olsa daha dayanıklı olurdu.,mekanik_istasyon,0,suggestion,4,P4,3,yazim_yanlisi,missing:gemini
Üsküdar giriş kapısı takıldı,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Turnike dönmüyor Kozyatağı 3 numaralı,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Asansör kapı kilitlenmiyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Vezneciler kuzey girişindeki turnike kollarının darbelere dayanıklı yumuşak kaplama ile yenilenmesini öneriyoruz.,mekanik_istasyon,0,suggestion,4,P4,3,standart,missing:gemini
Yenisahra istasyonu asansör motor odası fanı çalışmıyor motor ısınma alarmı verdi.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
yuruyen merdiven yandan cikti bostanci,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Turnike geçiş yönü kilitli,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Aksaray istasyonu C çıkışı asansörü kapı kilidi takıldı açılmıyor teknik ekip çağrıldı.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
İstasyon girişindeki manuel demir kapıların sensörlü otomatik sistemlerle güncellenmesi erişilebilirliği kolaylaştıracaktır.,mekanik_istasyon,0,suggestion,4,P4,3,standart,missing:gemini
Turnike kolu kırıldı giriş katı,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:gemini
Necip Fazıl istasyonu asansör fren patinleri aşındı ani duruşta kayma yapıyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Asansör seviye farkı veriyor Şişli alt kat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Bostancı acil çıkış kapısı kilitli.,mekanik_istasyon,0,fault_report,0,P1,0,cok_kisa,relabel:gemini
Kapı kontaşı kırıldı Sultanbeyli giriş,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
asansor butonlari calismiyo dudullu alt,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
turnike govesi hasarli atasehir ist,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Merdiven palet zinciri kopuk,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Yürüyen merdiven fren çekiyor,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Bariyer kolu çökeldi Ataköy çıkış kat,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Yangın bariyeri açılmıyor,mekanik_istasyon,0,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Yürüyen merdiven motor ısınma,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Şişhane istasyonu giriş bariyeri kapanma süresi çok kısa yolcu sırtına vurdu.,mekanik_istasyon,0,incident_report,1,P2,1,standart,relabel:gemini
Bagcilar peron katindaki asansor kapisi nezaman duzelir?,mekanik_istasyon,0,information_request,2,P3,2,yazim_yanlisi,missing:gemini
asansor kabini ne zaman duzelcek bilgi var mi?,mekanik_istasyon,0,information_request,2,P3,2,yazim_yanlisi,missing:gemini
Otomatik kapı takıldı Kadıköy,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
yuruyen merdıven kenarlarına koruyucu cıta takılsa ıyı olcak.,mekanik_istasyon,0,suggestion,4,P4,3,yazim_yanlisi,missing:gemini
asansor alarm caldi fevzi cakmak,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:openrouter
Asansör durdu katlar arası Çekmeköy,mekanik_istasyon,0,fault_report,0,P1,0,devrik,relabel:openrouter
Taksim istasyonunda asansör hizmet vermediği için yönlendirme yapıldı.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Turnike rotör kilitlenmiş,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:gemini
Merdiven paleti söküldü Vezneciler tünel ağzı,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Kağıthane M11 istasyonu merdiven palet arası mesafe açıldı küçük eşya düştü.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Merdiven emniyet freni çekti Kartal,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Turnike gövde çatlak var,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Cam kapı hortumu patladı,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Yürüyen merdiven garip ses,mekanik_istasyon,0,fault_report,0,P3,2,cok_kisa,relabel:openrouter
Otomatik kapı takıldı Şişli tünel ağzı,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Asansör içi ayna takılsın.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,missing:gemini
Turnike 4 ne zaman açılır?,mekanik_istasyon,0,information_request,2,P3,2,cok_kisa,missing:gemini
Asansör tamiri ne zaman biter?,mekanik_istasyon,0,information_request,2,P3,2,cok_kisa,missing:gemini
Üsküdar istasyonu güney çıkış turnikesi kolu dönmüyor yolcular geçiş yapamıyor.,mekanik_istasyon,0,fault_report,0,P3,2,standart,relabel:gemini
Merdiven yanlarına fırça eklensin.,mekanik_istasyon,0,suggestion,4,P4,3,cok_kisa,missing:gemini
Açılmıyor acil çıkış kapısı kilitli kalmış Şişhane.,mekanik_istasyon,0,fault_report,0,P1,0,devrik,relabel:gemini
Acil çıkış kilidi peron kapısı takılı.,mekanik_istasyon,0,fault_report,0,P1,0,devrik,relabel:gemini
ym 06 fren basilmadi sirinevler,mekanik_istasyon,0,fault_report,0,P1,0,yazim_yanlisi,relabel:openrouter
Yürüyen merdiven titrıyor Gayrettepe 2 numara,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
dudullu asansr ic skiz yapms,mekanik_istasyon,0,fault_report,0,P3,2,yazim_yanlisi,relabel:gemini
Değişmeli menteşeler istasyon ana giriş kapısında.,mekanik_istasyon,0,suggestion,4,P4,3,devrik,missing:gemini
Asansör freni tutmuyor Bostancı acil,mekanik_istasyon,0,fault_report,0,P1,0,devrik,relabel:openrouter
yuruyen merdiven adimlari oynuyo gayrettepe,mekanik_istasyon,0,fault_report,0,P1,0,yazim_yanlisi,relabel:openrouter
Otomatik kapı açılmıyor Levent kuzey giriş,mekanik_istasyon,0,fault_report,0,P3,2,devrik,relabel:openrouter
Kartal istasyonunda 1. peron aydınlatması tamamen söndü.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Şişli istasyonunda kuzey giriş aydınlatması tamamen söndü.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
Kadıköy istasyonunda peron üstü acil aydınlatması testte yanıp söndü.,elektrik_enerji,1,fault_report,0,P2,1,standart,relabel:gemini
Şirinevler peron aydınlatması söndü,elektrik_enerji,1,fault_report,0,P1,0,cok_kisa,relabel:openrouter
Peron aydınlatması tamamen söndü Bostancı,elektrik_enerji,1,fault_report,0,P2,1,devrik,relabel:gemini
Kadıköy istasyonunda peron aydınlatması tamamen söndü.,elektrik_enerji,1,fault_report,0,P3,2,standart,relabel:gemini
